Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,080023,2012,12,20,28.0,1,Y
IDCJAC0010,080023,2012,12,21,30.7,1,Y
IDCJAC0010,080023,2012,12,22,35.2,1,Y
IDCJAC0010,080023,2012,12,23,40.9,1,Y
IDCJAC0010,080023,2012,12,24,32.3,1,Y
IDCJAC0010,080023,2012,12,25,28.2,1,Y
IDCJAC0010,080023,2012,12,26,30.0,1,Y
IDCJAC0010,080023,2012,12,27,35.5,1,Y
IDCJAC0010,080023,2012,12,28,28.3,1,Y
IDCJAC0010,080023,2012,12,29,30.7,1,Y
IDCJAC0010,080023,2012,12,30,30.6,1,Y
IDCJAC0010,080023,2012,12,31,33.4,1,Y
