"","DC1","DC2","DC3","DS1","DS2","DS3","SC1","SC2","SC3","SS1","SS2","SS3","U1","U2","U3"
"Otu00345",25,24,14,18,14,7,18,18,6,24,20,21,4,11,11
"Otu00323",17,15,14,17,21,9,23,11,11,16,26,30,10,5,9
"Otu00333",20,8,19,16,26,17,23,10,24,14,16,18,5,10,8
"Otu00305",11,7,19,25,9,7,9,8,11,7,6,12,21,37,44
"Otu00319",14,18,8,4,11,16,18,14,26,16,15,13,23,17,20
"Otu00359",27,18,20,4,20,14,13,12,20,25,16,20,7,12,5
"Otu00365",9,14,20,12,13,19,15,15,26,10,11,22,14,11,22
"Otu00388",8,11,16,21,16,23,30,14,34,11,21,16,3,6,3
"Otu00352",13,34,31,14,11,8,6,6,12,10,13,10,21,13,30
"Otu00317",7,3,14,8,9,23,19,15,23,29,17,24,21,9,10
"Otu00403",16,14,29,29,15,22,17,4,16,13,18,13,0,17,8
"Otu00364",21,10,15,22,22,16,15,14,19,18,19,20,9,5,4
"Otu00390",14,13,12,24,12,24,17,15,9,16,20,24,5,9,14
"Otu00362",19,17,19,20,25,14,14,12,11,20,14,21,5,5,11
"Otu00412",28,3,1,13,0,1,25,148,5,0,0,0,0,0,3
"Otu00353",16,43,36,17,21,13,5,4,16,5,12,8,4,14,12
"Otu00356",18,16,12,21,14,19,15,9,18,21,29,16,4,7,7
"Otu00410",7,1,3,14,17,14,22,16,24,31,17,19,7,26,7
"Otu00547",11,6,0,74,0,0,42,91,1,0,0,0,0,0,0
"Otu00397",9,6,0,5,2,0,22,168,2,0,3,1,3,0,3
"Otu00405",13,20,20,22,11,13,16,13,18,19,10,30,5,7,7
"Otu00383",18,14,4,14,15,24,20,12,19,23,22,18,10,3,7
